,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Date,Month
0,6tUgfsOa8PLkoede5nOR7D,0.00194,0.919,219880.0,0.73,8.51e-05,1.0,0.101,-6.581,1.0,0.088,95.044,4.0,0.189,2017-11-09,11
1,2LrSLJLhv7oATJZcuLtKt6,0.0137,0.238,293960.0,0.618,0.0,7.0,0.0727,-6.506,1.0,0.0373,139.878,3.0,0.206,2017-11-09,11
2,7sO5G9EABYOXQKNPNiE9NR,0.149,0.88,172800.0,0.428,5.07e-05,9.0,0.114,-8.28,1.0,0.206,100.007,4.0,0.333,2017-11-09,11
3,7rKCmo4SZhKubupJdsuM5S,0.0312,0.573,331125.0,0.688,0.0,6.0,0.0962,-7.303,1.0,0.0372,110.739,4.0,0.189,2017-11-09,11
4,2lv3VeIXioaiUTHlpVryUv,0.596,0.599,112205.0,0.501,1.66e-05,2.0,0.321,-7.452,1.0,0.132,126.762,4.0,0.574,2017-11-09,11
5,0tDfp0vFR95Gg6Mrhza3lX,0.193,0.599,203507.0,0.508,0.000177,9.0,0.329,-9.894,1.0,0.105,163.957,4.0,0.269,2017-11-09,11
6,4gRAniZdYF2zVrDUsNC9tU,0.017,0.929,237231.0,0.572,0.00353,6.0,0.122,-6.928,0.0,0.0506,128.014,4.0,0.288,2017-11-09,11
7,0rUeyAypoUUFzobbSWOe0U,0.974,0.571,73650.0,0.0413,0.0,5.0,0.111,-19.473,0.0,0.089,76.823,4.0,0.347,2017-11-09,11
8,5hcisvFMidkMJlElTO9Qmw,0.423,0.807,297485.0,0.681,0.0,11.0,0.0962,-6.268,1.0,0.0983,140.006,4.0,0.676,2017-11-09,11
9,2nUJvBO87SkxCViQsLc9Zr,0.11,0.895,186027.0,0.885,4.04e-05,0.0,0.106,-4.182,1.0,0.268,134.973,4.0,0.633,2017-11-09,11
10,6i3K9JRY0Bc6kZZeyMuikL,0.837,0.618,202103.0,0.217,0.000163,10.0,0.538,-15.372,1.0,0.0515,116.013,4.0,0.0872,2017-11-09,11
11,4fU3wz8wbjWZea4YYF04iR,0.934,0.515,69813.0,0.133,1.18e-05,0.0,0.124,-18.882,1.0,0.0957,84.866,1.0,0.0761,2017-11-09,11
12,4lESS6vuruP6a79KWRaQou,0.283,0.871,184067.0,0.768,2.25e-05,4.0,0.162,-5.401,0.0,0.122,98.989,4.0,0.765,2017-11-09,11
13,1LgNXucKQHGybDwernsNo2,0.0124,0.867,259463.0,0.563,0.0,1.0,0.0536,-8.431,1.0,0.141,147.973,4.0,0.502,2017-11-09,11
14,0Gux2yTMWYOlcBUNjGJu5p,0.0129,0.507,227707.0,0.442,0.000148,10.0,0.174,-7.279,1.0,0.367,173.03,4.0,0.107,2017-11-09,11
15,0lRhj7HyP2KObeyFPUOPRA,0.112,0.349,183688.0,0.892,0.0,6.0,0.212,-3.011,1.0,0.351,172.639,4.0,0.849,2017-11-09,11
16,4tHqQMWSqmL6YjXwsqthDI,0.994,0.418,85267.0,0.106,0.0292,8.0,0.179,-22.507,0.0,0.0448,46.718,4.0,0.8,2017-11-09,11
17,77bKLlmIwnG68X6wsi8Ord,0.882,0.319,197987.0,0.401,2.95e-05,8.0,0.0905,-7.622,1.0,0.0312,78.63,4.0,0.363,2017-11-09,11
18,0olvO9l53TxK1j0v4wrC5y,0.14,0.737,192293.0,0.523,6.12e-05,7.0,0.127,-10.25,1.0,0.0703,91.993,4.0,0.305,2017-11-09,11
19,1YZfcVLbbJwfizR5cDOp3q,0.0519,0.901,307660.0,0.529,0.0,2.0,0.179,-4.443,1.0,0.191,138.003,4.0,0.146,2017-11-09,11
20,6pcED19DVN2Coh4tmmgHH6,0.391,0.785,357357.0,0.379,0.0161,7.0,0.267,-11.446,1.0,0.0732,122.043,3.0,0.182,2017-11-09,11
21,5u6vkDnOyaf8LsteDAj2ub,0.331,0.782,268933.0,0.436,1.3e-05,2.0,0.342,-7.033,1.0,0.155,82.994,4.0,0.243,2017-11-09,11
22,5KgdtjmglXPjJNKvMvSjgo,0.128,0.695,229443.0,0.972,0.0,2.0,0.101,-3.568,1.0,0.0499,143.979,4.0,0.78,2017-11-09,11
23,7EmGUiUaOSGDnUUQUDrOXC,0.139,0.715,197993.0,0.802,0.0,11.0,0.177,-4.647,0.0,0.0394,124.989,4.0,0.327,2017-11-09,11
24,6mrKP2jyIQmM0rw6fQryjr,0.33,0.659,212120.0,0.716,0.0,5.0,0.173,-5.673,0.0,0.111,148.015,4.0,0.437,2017-11-09,11
25,1muS4hJ6QV0eb34t6bgLqR,0.104,0.51,230756.0,0.541,0.0,11.0,0.314,-6.174,0.0,0.027,130.079,4.0,0.267,2017-11-09,11
26,5ZX1X9Rl4zbx1Wwyn3idVD,0.35,0.659,283295.0,0.54,2.84e-06,4.0,0.119,-8.065,0.0,0.077,135.655,4.0,0.139,2017-11-09,11
27,3ncgNpxLoBQ65ABk4djDyd,0.0149,0.921,191252.0,0.467,0.000238,1.0,0.334,-8.443,1.0,0.119,135.995,4.0,0.287,2017-11-09,11
28,4lUnFLtn8w3W76FiYDRzmO,0.0803,0.648,190643.0,0.603,0.0,8.0,0.112,-5.098,1.0,0.0507,126.116,4.0,0.488,2017-11-09,11
29,0tPQPaOKM32WgMSbPCYyRH,0.0789,0.721,172687.0,0.873,0.0,1.0,0.0824,-4.741,1.0,0.119,79.943,4.0,0.552,2017-11-09,11
30,4K1vOdIFqskQv3zoI0FdAk,0.757,0.549,247555.0,0.404,0.000176,0.0,0.114,-10.214,1.0,0.105,119.726,4.0,0.148,2017-11-09,11
31,5GqGavoD0DCHBcRxfRK7v1,0.815,0.494,121671.0,0.37,0.0,5.0,0.296,-6.673,1.0,0.0479,120.202,4.0,0.455,2017-11-09,11
32,6GNifiuBPrKFpwNBYnooFm,0.68,0.749,268864.0,0.671,0.0,6.0,0.167,-5.151,1.0,0.0599,81.994,4.0,0.756,2017-11-09,11
